method	task_type	n	ctx	metric	mean_labels
rdblearn_tabicl	clf	4	256	0.599451	21.720555
rdblearn_tabicl	clf	4	512	0.665167	49.555549
rdblearn_tabicl	clf	4	1024	0.701434	99.193510
rdblearn_tabicl	clf	4	2048	0.744166	191.095002
rdblearn_tabicl	clf	4	4096	0.778146	368.111388
rdblearn_tabicl	clf	4	8192	0.792163	712.145632
rt	clf	4	256	0.575075	21.720555
rt	clf	4	512	0.579316	49.555549
rt	clf	4	1024	0.572659	99.193510
rt	clf	4	2048	0.572010	191.095002
rt	clf	4	4096	0.581961	368.111388
rt	clf	4	8192	0.589070	712.145632
rt_p	clf	4	256	0.587848	21.720555
rt_p	clf	4	512	0.601237	49.555549
rt_p	clf	4	1024	0.604900	99.193510
rt_p	clf	4	2048	0.599782	191.095002
rt_p	clf	4	4096	0.608424	368.111388
rt_p	clf	4	8192	0.636649	712.145632
