method	task_type	n	ctx	metric	mean_labels
rdblearn_tabicl	clf	4	256	0.612036	21.787842
rdblearn_tabicl	clf	4	512	0.669234	49.107422
rdblearn_tabicl	clf	4	1024	0.670085	98.833496
rdblearn_tabicl	clf	4	2048	0.718350	190.381348
rdblearn_tabicl	clf	4	4096	0.764091	367.420410
rdblearn_tabicl	clf	4	8192	0.791612	711.807373
rt	clf	4	256	0.597922	21.787842
rt	clf	4	512	0.621618	49.107422
rt	clf	4	1024	0.564808	98.833496
rt	clf	4	2048	0.590584	190.381348
rt	clf	4	4096	0.575461	367.420410
rt	clf	4	8192	0.557726	711.807373
rt_p	clf	4	256	0.660993	21.787842
rt_p	clf	4	512	0.678309	49.107422
rt_p	clf	4	1024	0.680053	98.833496
rt_p	clf	4	2048	0.656700	190.381348
rt_p	clf	4	4096	0.657909	367.420410
rt_p	clf	4	8192	0.667038	711.807373
