task,metric,tabpfn-rel-client,tabpfn-rel-local,rt-plurel,graphsage,rdblearn,relgnn-es,relgt,lightgbm,constant-per-entity,constant-global
rel-amazon/item-churn,roc_auc,0.8280,0.8279,0.8327,0.8305,0.8195,0.7856,0.8238,0.6622,0.7289,0.5000
rel-amazon/user-churn,roc_auc,0.7086,0.7024,0.7135,0.7046,0.6844,0.6943,0.7019,0.5171,0.6342,0.5000
rel-avito/user-clicks,roc_auc,0.6752,0.6145,0.5834,0.6087,0.6788,0.6676,0.6444,0.5642,0.5041,0.5000
rel-avito/user-visits,roc_auc,0.6680,0.6688,0.6709,0.6658,0.6596,0.6487,0.6621,0.5293,0.6027,0.5000
rel-event/user-ignore,roc_auc,0.8787,0.7014,0.8476,0.7587,0.6644,0.8054,0.7815,0.7772,0.8399,0.5000
rel-event/user-repeat,roc_auc,0.7593,0.7693,0.7914,0.7846,0.7441,0.7546,0.7344,0.7483,0.7518,0.5000
rel-f1/driver-dnf,roc_auc,0.7322,0.7145,0.7315,0.7172,0.7146,0.7261,0.7117,0.7303,0.6993,0.5000
rel-f1/driver-top3,roc_auc,0.7714,0.7929,0.7589,0.7260,0.7801,0.7589,0.8108,0.7389,0.5565,0.5000
rel-hm/user-churn,roc_auc,0.7052,0.7057,0.7044,0.6985,0.6984,0.6820,0.6895,0.5901,0.6480,0.5000
rel-stack/user-badge,roc_auc,0.8804,0.8635,0.8916,0.8887,0.7711,0.6206,0.5743,0.5380,0.7890,0.5000
rel-stack/user-engagement,roc_auc,0.9060,0.9058,0.8968,0.9056,0.8587,0.9051,0.9067,0.8118,0.8267,0.5000
rel-trial/study-outcome,roc_auc,0.7647,0.7306,0.7235,0.6862,0.7212,0.6574,0.6685,0.7150,0.5000,0.5000
rel-amazon/item-ltv,mae,46.8,47.8,43.0,49.2,49.0,52.5,48.7,55.8,65.4,64.2
rel-amazon/user-ltv,mae,14.4,14.4,13.9,14.4,14.6,14.6,14.4,16.8,17.4,16.8
rel-avito/ad-ctr,mae,0.0311,0.0314,0.0348,0.0390,0.0341,0.0426,0.0365,0.0412,0.0412,0.0431
rel-event/user-attendance,mae,0.244,0.239,0.241,0.245,0.242,0.244,0.261,0.263,0.269,0.264
rel-f1/driver-position,mae,3.769,3.762,3.818,4.011,3.889,4.266,4.766,4.106,4.104,4.399
rel-hm/item-sales,mae,0.0605,0.0614,0.0403,0.0552,0.0671,0.0565,0.0532,0.0753,0.0780,0.0761
rel-stack/post-votes,mae,0.0679,0.0680,0.0635,0.0649,0.0677,0.0679,0.0679,0.0661,0.0694,0.0679
rel-trial/site-success,mae,0.413,0.386,0.410,0.325,0.486,0.340,0.370,0.438,0.441,0.462
rel-trial/study-adverse,mae,39.8,42.6,32.7,44.3,44.0,46.3,44.1,44.6,57.5,57.5
