model,dataset,task,task_type,seed,n_trials,metric,device,selected,config,config_id,config_tag,val_score,test_score,fit_time_tuning,predict_time_tuning,fit_time_refit,predict_time_refit,error,val_average_precision,val_accuracy,val_f1,val_roc_auc,test_average_precision,test_accuracy,test_f1,test_roc_auc,val_r2,val_mae,val_rmse,test_r2,test_mae,test_rmse,id
dummy,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0622168170000065,0.002807520999994,0.0512198549999993,0.003001845,,0.4121920884241568,0.5878079115758432,0.0,0.5,0.3694932930557054,0.6305067069442946,0.0,0.5,,,,,,,
dummy,rel-amazon,item-ltv,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,59.4714964246787,64.23361282761559,0.0410067040000114,0.0005273630000033,0.0378446419999818,0.0005951090000166,,,,,,,,,,-0.0128885328599854,59.4714964246787,454.9198738732304,-0.0071569989522097,64.23361282761559,666.9863192392224,
dummy,rel-amazon,user-churn,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0993465359999845,0.0046844909999776,0.0989136390000169,0.0045031129999983,,0.6420281508667812,0.6420281508667812,0.7819940852145224,0.5,0.6064481293604445,0.6064481293604445,0.7550173806133189,0.5,,,,,,,
dummy,rel-amazon,user-ltv,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,14.1407152409027,16.78297941088708,0.0338333959999772,0.0010461159999977,0.0304504290000124,0.0009903860000122,,,,,,,,,,-0.0835422154812146,14.1407152409027,50.92620345868564,-0.0916344183845256,16.78297941088708,57.92664264129245,
dummy,rel-avito,ad-ctr,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,0.039864301926295,0.0430665554441568,0.0082695110000088,7.117500000219934e-05,0.0006748879999918,6.462700000042787e-05,,,,,,,,,,-0.0948849269986262,0.039864301926295,0.1038008376753582,-0.097969100954746,0.0430665554441568,0.1150036267720595,
dummy,rel-avito,user-clicks,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0070729930000084,0.0003633649999983,0.0020628190000024,0.0006762940000015,,0.0351697115611575,0.9648302884388424,0.0,0.5,0.0154179514959579,0.984582048504042,0.0,0.5,,,,,,,
dummy,rel-avito,user-visits,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0090276869999996,0.0005274530000036,0.0028360109999994,0.0005022550000006,,0.9034991160479002,0.9034991160479002,0.949303425917813,0.5,0.8505909380276232,0.8505909380276232,0.9192641340113672,0.5,,,,,,,
dummy,rel-event,user-attendance,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,0.2575216726160122,0.2635342185903984,0.0079371110000039,7.334999999386582e-05,0.0007546759999996,7.06490000084159e-05,,,,,,,,,,-0.2421977241343942,0.2575216726160122,0.5832088694589651,-0.1682932009182753,0.2635342185903984,0.694351940269542,
dummy,rel-event,user-ignore,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0120964870000079,0.0001149230000123,0.0012619050000068,0.0001208279999929,,0.1091279959204487,0.8908720040795512,0.0,0.5,0.1302349336057201,0.8697650663942799,0.0,0.5,,,,,,,
dummy,rel-event,user-repeat,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0108309200000036,8.92529999987346e-05,0.0005018469999953,8.853199999236949e-05,,0.4790874524714829,0.5209125475285171,0.0,0.5,0.4471544715447154,0.5528455284552846,0.0,0.5,,,,,,,
dummy,rel-f1,driver-dnf,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0144761740000092,0.0001052470000075,0.0005883889999864,6.237899999916863e-05,,0.7791519434628975,0.7791519434628975,0.8758689175769613,0.5,0.7051282051282052,0.7051282051282052,0.8270676691729323,0.5,,,,,,,
dummy,rel-f1,driver-position,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,4.135571142284569,4.399100877192982,0.0075809649999882,6.660399999702804e-05,0.0005050740000029,4.840799999783485e-05,,,,,,,,,,-0.2355678566834016,4.135571142284569,5.153278222818213,-0.0424719421406794,4.399100877192982,5.319882538110992,
dummy,rel-f1,driver-top3,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.0103604829999994,8.52970000124742e-05,0.0003546800000009,6.223799999816038e-05,,0.2023809523809523,0.7976190476190477,0.0,0.5,0.1763085399449036,0.8236914600550964,0.0,0.5,,,,,,,
dummy,rel-hm,item-sales,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,0.085690221805826,0.0760870451124123,0.0359504230000027,0.0003982429999922,0.0248764709999989,0.0004024310000119,,,,,,,,,,-0.0167403782891153,0.085690221805826,0.6678111543867765,-0.017049827178166,0.0760870451124123,0.5876541979252354,
