task,metric,rt-j-icl,rt-plurel-ft
rel-amazon/item-churn,roc_auc,80.69,83.27
rel-amazon/user-churn,roc_auc,68.78,71.35
rel-avito/user-clicks,roc_auc,54.54,58.34
rel-avito/user-visits,roc_auc,62.41,67.09
rel-event/user-ignore,roc_auc,87.31,84.76
rel-event/user-repeat,roc_auc,78.42,79.14
rel-f1/driver-dnf,roc_auc,83.02,73.15
rel-f1/driver-top3,roc_auc,91.44,75.89
rel-hm/user-churn,roc_auc,67.87,70.44
rel-stack/user-badge,roc_auc,82.11,89.16
rel-stack/user-engagement,roc_auc,86.71,89.68
rel-trial/study-outcome,roc_auc,64.51,72.35
rel-amazon/item-ltv,nmae,7.78,7.28
rel-amazon/user-ltv,nmae,27.38,24.17
rel-avito/ad-ctr,nmae,41.75,36.37
rel-event/user-attendance,nmae,35.42,31.50
rel-f1/driver-position,nmae,40.79,54.34
rel-hm/item-sales,nmae,9.56,8.14
rel-stack/post-votes,nmae,13.80,12.44
rel-trial/site-success,nmae,15.23,86.16
rel-trial/study-adverse,nmae,15.31,9.64
