# rt-j vs rt-p, FULL relbench test sets, relbench.leaderboard metrics
# clf ckpt on 12 clf tasks (AUROC, higher better); reg ckpt on 9 reg tasks (NMAE, lower better)

## classification ckpt (AUROC, higher better)
task                            	      n	   rt-j	   rt-p
rel-amazon/item-churn           	 166842	 0.7956	 0.7051
rel-amazon/user-churn           	 351885	 0.6782	 0.6478
rel-avito/user-clicks           	  47996	 0.5303	 0.5102
rel-avito/user-visits           	  36129	 0.5591	 0.5887
rel-event/user-ignore           	   1958	 0.8325	 0.8069
rel-event/user-repeat           	    246	 0.7521	 0.7670
rel-f1/driver-dnf               	    702	 0.8090	 0.7968
rel-f1/driver-top3              	    726	 0.9108	 0.8741
rel-hm/user-churn               	  74575	 0.6357	 0.6149
rel-stack/user-badge            	 255360	 0.8082	 0.8300
rel-stack/user-engagement       	  88137	 0.8479	 0.8700
rel-trial/study-outcome         	    825	 0.6369	 0.6417
mean                            	       	 0.7330	 0.7211

## regression ckpt (NMAE, lower better)
task                            	      n	   rt-j	   rt-p
rel-amazon/item-ltv             	 178334	 0.0846	 0.0934
rel-amazon/user-ltv             	 351885	 0.2867	 0.3055
rel-avito/ad-ctr                	   1816	 0.4586	 0.4511
rel-event/user-attendance       	   1958	 0.3578	 0.4097
rel-f1/driver-position          	    760	 0.4137	 0.4663
rel-hm/item-sales               	 105542	 0.1057	 0.1668
rel-stack/post-votes            	 160903	 0.1417	 0.1771
rel-trial/site-success          	  22617	 0.3141	 0.5051
rel-trial/study-adverse         	   3098	 0.1543	 0.1600
mean                            	       	 0.2575	 0.3039
