# rt-j classification ckpt (stanford-star/rt-j/classification), full relbench test set,
# type-matched task list (forecast-clf.json), scored by relbench.leaderboard, 2xB200, slurm job 99539, elapsed_s=19179
# task	metric	value	n	align
rel-amazon/item-churn	roc_auc	0.7956	166842	cls=1.000
rel-amazon/user-churn	roc_auc	0.6782	351885	cls=1.000
rel-avito/user-clicks	roc_auc	0.5303	47996	cls=1.000
rel-avito/user-visits	roc_auc	0.5591	36129	cls=1.000
rel-event/user-ignore	roc_auc	0.8325	1958	cls=1.000
rel-event/user-repeat	roc_auc	0.7521	246	cls=1.000
rel-f1/driver-dnf	roc_auc	0.8090	702	cls=1.000
rel-f1/driver-top3	roc_auc	0.9108	726	cls=1.000
rel-hm/user-churn	roc_auc	0.6357	74575	cls=1.000
rel-stack/user-badge	roc_auc	0.8082	255360	cls=1.000
rel-stack/user-engagement	roc_auc	0.8479	88137	cls=1.000
rel-trial/study-outcome	roc_auc	0.6369	825	cls=1.000
mean	roc_auc	0.7330	-	-
