# rt-p regression ckpt (stanford-star/rt-p/regression), full relbench test set,
# type-matched task list (forecast-reg.json), scored by relbench.leaderboard, 2xB200, slurm job 99540, elapsed_s=14208
# task	metric	value	n	align
rel-amazon/item-ltv	nmae	0.0934	178334	|dy|<=2.3e+02
rel-amazon/user-ltv	nmae	0.3055	351885	|dy|<=1.9e+01
rel-avito/ad-ctr	nmae	0.4511	1816	|dy|<=1.3e-03
rel-event/user-attendance	nmae	0.4097	1958	|dy|<=1.4e-02
rel-f1/driver-position	nmae	0.4663	760	|dy|<=2.7e-02
rel-hm/item-sales	nmae	0.1668	105542	|dy|<=9.9e-02
rel-stack/post-votes	nmae	0.1771	160903	|dy|<=6.2e-02
rel-trial/site-success	nmae	0.5051	22617	|dy|<=1.2e-03
rel-trial/study-adverse	nmae	0.1600	3098	|dy|<=6.9e+00
mean	nmae	0.3039	-	-
